店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503078,武汉市好学途文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,10,20,10,57,107,40,44,16,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502866,四川云思路图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,8,10,0,48,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502056,潍坊振发文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,491,1357,0,0,0,0,0,47,373,0,0,0,729,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501922,杭州盛世久顺文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,714,36,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501752,安徽育甲优创教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,427,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501417,西安尚墨文化传播有限公司,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501751,昆明初莫文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501571,河北鸿硕教育科技有有限公司,0,0,0,0,0,0,0,0,0,0,15,297,0,0,0,105,0,0,11,0,137,224,330,0,0,94,106,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501237,兰州书志文化传播有限公司,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501416,河南超图教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501415,中数数字科技（山东）有限公司,0,0,0,0,0,0,0,0,0,0,18,1630,5,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501236,宁波涌济文化发展有限公司,0,0,0,0,0,0,0,0,0,62,49,70,23,16,83,89,38,26,49,2,38,113,90,122,18,29,103,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501085,广东宾博文化传播有限公司,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501234,安徽振乾文化传媒有限公司,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,8,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500775,杭州润游图书有限公司,0,0,0,0,0,0,0,402,486,0,0,0,0,0,0,381,0,0,0,8,46,0,0,70,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501086,四川省教育电子音像出版社有限公司,0,0,0,0,0,0,0,0,0,2343,109,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
