店铺ID,店铺名称,销售,收入,创建,发布
500614,武汉荷尖尖图书有限公司,18.4,12.88,0,0
500307,内蒙古京北贸易有限公司,16,11.2,0,0
500605,陕西书悦文化传播有限公司,2.5,1.75,0,0
500255,山东新坐标书业有限公司,0,0,0,0
500632,湖北华育文化发展有限公司,0,0,0,0
500654,北京时代新文达教育科技有限公司,0,0,0,0
500231,新乡市科艺图书有限公司,2,1.4,0,0
500316,武汉众帮文化传播有限公司,25.6,17.92,0,0
500595,陕西励志图书文化传播有限公司,0,0,0,0
500636,河南省鑫文轩文化发展有限公司,2,1.4,0,0
500335,河南长风教育科技有限公司,0,0,0,0
500359,合肥九州睿达文化发展有限公司,0,0,0,0
800021,漓江出版社有限公司,22,11,0,0
500615,陕西书雅图书文化传媒有限公司,0,0,0,0
500222,淄博衡石文化传播有限公司,3,2.1,0,0
500611,湖北阅泽优文化传媒有限公司,0,0,0,0
500642,许昌若比邻文化传播有限公司,0,0,0,0
500282,河南省新优学教育科技有限公司,6.8,4.76,0,0
500322,山东科速文化传播有限公司,147,102.9,0,0
500346,梁山蓝舟文化传媒有限公司,0,0,0,0
500619,武汉锦绣三江传媒有限公司,0,0,0,0
500659,悦读名品文化传媒（北京）有限公司,0,0,0,0
500354,安徽中科云楚教育科技有限公司,0,0,0,0
500265,河北众合创亿文化传媒有限公司,0,0,0,0
500230,时代天宇国际文化传媒（北京）有限公司,0,0,0,0
500593,北京昌昱春博大文化有限公司,3,2.1,0,0
500607,湖南学而优文化传播有限公司,12,8.4,0,0
800019,长江文艺出版社有限公司,0,0,0,0
500338,湖北梦之组文化传播有限公司,0,0,0,0
500326,湖南省新华书店有限责任公司,2,1,0,0
500186,北京时代华畅文化有限公司,0,0,0,0
500264,河南学伴文化传播有限公司,0,0,0,0
500321,郑州邦尔学文化传媒有限公司,0,0,0,0
500662,陕西新联文化教育有限公司,0,0,0,0
500612,山东海知源文化传媒有限公司,0,0,0,0
500569,山东梁山世纪儒源文化传媒有限公司,0,0,0,0
500256,河南华炳焱文化传媒有限公司,0,0,0,0
500301,北京三爱创新教育科技中心,0,0,0,0
800024,时代新媒体出版社有限责任公司,0,0,0,0
501921,郑州众轩图书有限公司,0,0,0,0
500682,世界图书出版上海有限公司,0,0,0,0
500678,北京鸿状元文化传媒有限公司,0,0,0,0
500670,江西卓众文化发展有限公司,0,0,0,0
500608,河南欢颜文化传媒有限公司,6728.7,4037.22,121,2029
800023,中国广播影视出版社有限公司,0,0,0,0
500680,北京汇众博源教育科技有限公司,0,0,0,0
500679,山东多乐多教育科技有限公司,0,0,0,0
500676,北京牧野春晖图书有限公司,0,0,0,0
500677,北京思状科技发展有限公司,0,0,0,0
500467,湖南教育报刊社《初中生》编辑部,0,0,0,0
500624,福建漂读网络科技有限公司,0,0,0,0
500286,湖南佩佩教育科技有限公司,4,2.8,0,0
500208,洛阳贵海图书有限公司,0,0,0,0
500613,陕西经纬图书报刊发行有限公司,0,0,0,0
500274,河南突唯文化传播有限公司,0,0,0,0
500263,河南功书文化传播有限公司,0,0,0,0
800017,文化发展出版社有限公司,0.9,0.45,0,0
500658,山东书品文化传媒有限公司,0,0,0,0
500604,扬帆之星（北京）文化传媒有限责任公司,0,0,0,0
500293,郑州海豚图书有限公司,0,0,0,0
500648,河南北之星图书有限公司,0,0,0,0
900004,西安市新城区图图释道书店,0,0,0,0
500657,说词解字（北京）文化有限公司,0,0,0,0
500279,河南天疆教育科技有限公司,0,0,0,0
500603,河北领恒图书销售有限公司,0,0,0,0
500305,河南典学文化传播有限公司,0,0,0,0
500348,湖南森利鑫文化传播有限公司,0,0,0,0
500681,山东太学教育科技有限公司,0,0,0,0
500675,北方国家版权交易中心有限公司,0,0,0,0
500671,洛阳墨韵文化传媒有限公司,0,0,0,0
500341,湖北快乐导航文化传播有限公司,0,0,0,0
900005,南京市玄武区书生教育信息咨询工作室,3657.04,2559.91,25,465
500447,北京五洲时代天华文化传媒有限公司,3319.58,2323.7,0,0
800030,北方联合出版传媒（集团）股份有限公司分公司,4192.08,2934.45,0,298
500480,陕西助力文化传媒有限公司,1225.2,857.64,0,123
500184,金华市合创展教育图书有限公司,540.1,378.07,0,0
500426,湖北瀚海书航文化传媒有限公司,1274.2,891.94,0,72
500494,山东学缘教育图书有限公司,1413,989.1,0,0
500535,北京知行健教育咨询有限公司,113.9,79.73,0,0
500431,山东瀚海文苑传媒有限公司,30.8,21.56,0,0
500528,北京伯乐马文化发展中心,1184.8,829.36,1,26
500540,安徽大图文化传播有限公司,1582,1107.4,1,28
500429,成都景中教育软件有限公司,0,0,0,0
500433,河北敬文图书有限公司,39,27.3,0,0
500386,华版（北京）文化有限公司,40.8,28.56,0,0
800026,北京世纪东方科技发展有限公司,153.5,107.45,0,0
500484,河南酷特文化传媒有限公司,3,2.1,0,0
500233,武汉华简书业有限公司,3,1.5,0,0
500579,潍坊神龙图书发行有限公司,3281.72,2297.2,0,242
500519,伊宁市格邦托管服务有限公司,0,0,0,0
500435,沈阳市驰翔书刊有限公司,18,12.6,0,0
500573,山东接力教育集团有限公司,4855.04,3398.49,0,0
500285,山东一帆融媒教育科技有限公司,10408.35,7285.77,0,381
500505,湖北千里万卷教育科技有限责任公司,4415.8,3091.05,9,206
500272,山东中辰文化传媒有限公司,19900.36,13930.06,0,1547
500415,山东一本图书有限公司,7791.4,5453.98,16,313
500187,荆州市南宇图书有限公司,2022.68,1415.87,0,0
500514,河北考源书业有限公司,1473.8,1031.66,0,0
500576,郑州培优教育图书发行有限公司,4262.5,2983.75,11,293
500389,河北万卷文化有限公司,2157.8,1510.39,0,0
500482,山东仁心齐教育科技有限公司,1834.25,1283.85,0,0
500177,河北志东图书有限公司,873.2,611.24,0,0
500442,梁山鑫宇文化传媒有限公司,1403.36,982.34,0,0
500214,四川多能教育书业有限公司,2375.9,1187.95,11,317
500201,河南鼎成教育科技有限公司,1517.72,758.86,0,84
500288,滨州市众邦图书有限公司,668.1,467.67,0,0
500500,山东正大图书有限公司,5733.92,4013.7,32,662
500440,山东优易练图书有限公司,757.36,529.97,0,0
500416,南京考优文化传播有限公司,844.6,591.22,2,25
500277,梁山智源数字化科技有限公司,2744.2,1920.94,1,27
500527,万向思维国际教育科技集团（西安）股份有限公司,46.6,32.62,0,0
800031,吉林教育出版社有限责任公司,792.3,554.61,0,47
500412,河南青橙教育科技有限公司,74.6,52.22,0,0
