店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505620,湖南书虫教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683.41,3921.85,1931.4,1178.7,737.29,1005,1095.6,788.1,666.8,392.25,427.25,383.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505618,盛世华阅文化传媒（北京）有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.04,888.29,575.82,1646.19,1490.37,1200.36,4651.07,10273.46,1607.68,2192.84,1307.91,554.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505017,河南写意年华教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.62,44.8,490.28,222.04,373.94,257.88,255.01,379.82,199.36,109.06,70.32,40.6,57.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505619,上海云珏文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503992,济宁长歌文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9072.55,34467.38,18827.74,15448.66,12057.95,11834.99,11675.84,12129.12,13857.7,17394.68,12598.48,26258.6,22003.88,26141.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503080,福建人民出版社有限责任公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.34,873.41,661.64,150.36,232.82,1180.88,795.83,588.84,895.58,840.92,430.99,1372.84,1015.28,602.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504617,合肥三新教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.05,1084.65,208.25,149.1,66.5,107.1,24.5,49.7,26.6,847.42,525.7,644.14,423.22,394.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504622,江苏有为咨询有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,186.3,0,0,0,4.2,3.36,0,20.16,190,0,4.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504623,山东开心图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687.3,2523.36,2896.25,4173.02,3244.57,1699.25,1720.81,1934.1,1737.88,501.13,1278.2,1064.84,616.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547.98,319.48,85.4,24.49,8.4,8.4,0,4.2,0,8.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503079,郑州启明星书业有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,554.82,612.65,248.64,150.36,50.4,14.7,26.46,18.9,44.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503077,河北兴园书刊有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.18,99.54,222.32,30.52,20.44,19.6,12.6,14.84,2.8,7,7,37.8,1.4,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503078,武汉市好学途文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.56,346.43,249.92,124.23,403.34,119.63,33.34,132.3,242.9,53.62,119,80.93,49.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502866,四川云思路图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.6,17.5,21.84,114.1,126.84,67.62,219.66,126.56,105.14,60.9,18.9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502056,潍坊振发文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,477.12,686.21,2193.02,8354.84,1622.69,1944.07,1015.68,1152.88,1195.53,1325.82,2044.68,1710.15,1144.29,1463.91,1715.07,9321.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501922,杭州盛世久顺文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,86.52,1020.6,896.02,683.83,394.87,575.19,177.1,92.54,69.02,53.9,83.52,467.32,234.99,251.02,161.42,303.8,125.44,107.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501752,安徽育甲优创教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566.85,1013.55,393.45,246.75,279,33.9,48.3,93.15,111,112.5,51.9,145.5,30,66.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501417,西安尚墨文化传播有限公司,0,0,0,0,0,0,0,0,0,0,90.3,533.52,51.66,41.72,80.36,49,30.1,31.5,2.8,0,2.1,1.4,0,0,4.2,14.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
