店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504623,山东开心图书有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882,3683.83,4247.65,6094.56,4738.1,2485.5,2518.3,2814,1768.4,715.9,1826,1521.2,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503076,聊城市开发区题酷网络科技服务中心,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2271.4,456.4,122,35,12,12,0,6,0,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503079,郑州启明星书业有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,798.6,911.22,355.2,214.8,72,21,37.8,27,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503077,河北兴园书刊有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.4,142.2,333.6,53.6,29.2,28,18,21.2,4,10,10,54,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503078,武汉市好学途文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.8,594.9,383.44,177.48,582.2,180.9,47.64,189,347,76.6,170,115.62,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502866,四川云思路图书销售有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,25,31.2,163,199.2,96.6,320.8,186.8,150.2,87,27,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502056,潍坊振发文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,681.6,1008.51,3263.4,12072,2444.15,2852.25,1505,1713.05,1743.9,1915.05,2963,2443.1,1634.7,2091.3,2450.1,13317.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501922,杭州盛世久顺文化发展有限公司,0,0,0,0,0,0,0,0,0,0,0,123.6,1464,1280.04,1008.9,581.1,826.7,270,132.2,98.6,77,122.32,667.6,371.7,358.6,230.6,434,179.2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501752,安徽育甲优创教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139.7,2195.1,789.9,493.5,558,67.8,96.6,186.3,222,225,103.8,291,60,133.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501417,西安尚墨文化传播有限公司,0,0,0,0,0,0,0,0,0,0,129,233.6,73.8,59.6,114.8,70,43,45,4,0,3,2,0,0,6,21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501751,昆明初莫文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501571,河北鸿硕教育科技有有限公司,0,0,0,0,0,0,0,0,0,0,128.8,2834.4,539.6,559,130,566.4,1940.18,915.2,32,4,557.2,1348.4,1421.4,2561.4,1093.2,138,1048.4,596.4,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501237,兰州书志文化传播有限公司,0,0,0,0,0,0,0,0,0,468,207.6,138,51.6,180,150,42,42,0,0,6,0,0,0,279.6,192,9.6,252,75.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501416,河南超图教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501415,中数数字科技（山东）有限公司,0,0,0,0,0,0,0,0,0,0,29,3277.2,1666.61,1055.76,694.09,379,546,564.3,793.3,551.2,545.5,362.3,354.8,293.49,133.1,111,62,49,235.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
